Request ID;Request Criticality (1-5);Time Sent in ms since epoch;Time Received answer in ms since epoch;Total Time in ms
1;1;1516277097625;1516277097711;86
2;1;1516277098106;1516277098118;12
3;1;1516277097708;1516277097742;34
4;1;1516277098204;1516277098243;39
5;2;1516277097455;1516277097461;6
6;1;1516277098021;1516277098087;66
7;1;1516277097429;1516277097463;34
8;2;1516277097770;1516277097832;62
9;5;1516277098299;1516277098312;13
10;2;1516277097706;1516277097803;97
11;1;1516277098317;1516277098410;93
12;1;1516277097410;1516277097478;68
13;1;1516277098079;1516277098173;94
14;2;1516277098178;1516277098199;21
15;3;1516277098037;1516277098059;22
16;1;1516277097934;1516277097996;62
17;2;1516277097773;1516277097858;85
18;2;1516277097377;1516277097409;32
19;2;1516277097562;1516277097623;61
20;2;1516277097459;1516277097547;88
21;1;1516277098298;1516277098330;32
22;2;1516277097572;1516277097596;24
23;2;1516277097893;1516277097901;8
24;2;1516277097846;1516277097858;12
25;2;1516277097341;1516277097365;24
26;1;1516277098268;1516277098372;104
27;2;1516277097369;1516277097381;12
28;2;1516277097927;1516277097940;13
29;2;1516277098153;1516277098214;61
30;2;1516277098090;1516277098128;38
31;2;1516277097992;1516277098038;46
32;1;1516277098180;1516277098213;33
33;2;1516277097689;1516277097766;77
34;2;1516277098333;1516277098420;87
35;2;1516277099141;1516277099238;97
36;2;1516277098947;1516277098995;48
37;1;1516277098804;1516277098877;73
38;5;1516277099223;1516277099225;2
39;2;1516277098911;1516277098972;61
40;2;1516277098869;1516277098956;87
41;1;1516277098988;1516277099022;34
42;2;1516277099280;1516277099332;52
43;2;1516277099005;1516277099046;41
44;3;1516277098926;1516277098998;72
45;2;1516277099306;1516277099326;20
46;2;1516277098718;1516277098744;26
47;1;1516277099224;1516277099269;45
48;2;1516277098535;1516277098578;43
49;1;1516277098884;1516277098918;34
50;1;1516277098375;1516277098438;63
51;2;1516277099069;1516277099097;28
52;1;1516277099019;1516277099091;72
53;1;1516277099196;1516277099246;50
54;2;1516277098766;1516277098798;32
55;1;1516277098949;1516277099023;74
56;1;1516277098414;1516277098482;68
57;2;1516277099152;1516277099217;65
58;2;1516277099160;1516277099227;67
59;2;1516277098954;1516277098966;12
60;1;1516277099058;1516277099107;49
61;1;1516277099269;1516277099288;19
62;1;1516277099072;1516277099104;32
63;5;1516277098488;1516277098519;31
64;1;1516277098494;1516277098508;14
65;3;1516277098356;1516277098379;23
66;1;1516277098852;1516277098907;55
67;5;1516277100310;1516277100311;1
68;1;1516277100221;1516277100300;79
69;4;1516277099932;1516277099946;14
70;1;1516277099442;1516277099557;115
71;2;1516277100303;1516277100375;72
72;2;1516277100149;1516277100200;51
73;1;1516277100298;1516277100311;13
74;1;1516277099361;1516277099421;60
75;2;1516277100290;1516277100315;25
76;2;1516277099670;1516277099768;98
77;2;1516277099815;1516277099835;20
78;1;1516277099965;1516277100032;67
79;2;1516277099770;1516277099800;30
80;1;1516277099615;1516277099710;95
81;1;1516277099505;1516277099562;57
82;2;1516277099981;1516277100040;59
83;2;1516277100037;1516277100125;88
84;2;1516277099720;1516277099766;46
85;1;1516277099571;1516277099617;46
86;2;1516277100041;1516277100079;38
87;1;1516277099426;1516277099444;18
88;1;1516277100053;1516277100157;104
89;2;1516277099970;1516277100010;40
90;5;1516277100145;1516277100155;10
91;2;1516277100182;1516277100228;46
92;1;1516277099840;1516277099907;67
93;5;1516277099973;1516277100007;34
94;1;1516277099941;1516277099991;50
95;1;1516277099825;1516277099911;86
96;2;1516277099934;1516277100029;95
97;1;1516277099956;1516277099983;27
98;2;1516277099787;1516277099836;49
99;1;1516277099480;1516277099592;112
100;2;1516277099365;1516277099406;41
101;5;1516277099842;1516277099858;16
102;1;1516277101073;1516277101165;92
103;1;1516277100949;1516277101000;51
104;1;1516277101115;1516277101170;55
105;3;1516277101066;1516277101092;26
106;2;1516277101242;1516277101288;46
107;1;1516277100967;1516277100991;24
108;2;1516277101322;1516277101346;24
109;1;1516277100721;1516277100767;46
110;2;1516277100543;1516277100629;86
111;2;1516277100515;1516277100604;89
112;2;1516277100499;1516277100553;54
113;2;1516277101142;1516277101176;34
114;2;1516277100668;1516277100761;93
115;2;1516277100986;1516277101009;23
116;3;1516277100331;1516277100346;15
117;2;1516277100505;1516277100579;74
118;2;1516277101207;1516277101260;53
119;1;1516277101231;1516277101331;100
120;1;1516277101130;1516277101148;18
121;1;1516277100932;1516277101003;71
122;1;1516277101107;1516277101138;31
123;2;1516277100633;1516277100656;23
124;2;1516277100797;1516277100851;54
125;2;1516277101248;1516277101303;55
126;2;1516277100491;1516277100533;42
127;1;1516277100856;1516277100911;55
128;4;1516277101010;1516277101058;48
129;1;1516277101247;1516277101348;101
130;1;1516277100803;1516277100879;76
131;1;1516277100523;1516277100566;43
132;2;1516277102076;1516277102114;38
133;2;1516277102120;1516277102213;93
134;2;1516277101687;1516277101723;36
135;2;1516277101697;1516277101779;82
136;2;1516277102103;1516277102176;73
137;1;1516277101601;1516277101636;35
138;2;1516277102222;1516277102255;33
139;1;1516277101652;1516277101678;26
140;2;1516277102072;1516277102173;101
141;2;1516277101788;1516277101854;66
142;2;1516277101801;1516277101873;72
143;1;1516277102094;1516277102198;104
144;1;1516277102215;1516277102294;79
145;5;1516277101755;1516277101775;20
146;1;1516277102089;1516277102131;42
147;2;1516277102055;1516277102081;26
148;2;1516277101595;1516277101663;68
149;3;1516277101905;1516277101917;12
150;5;1516277102259;1516277102282;23
151;1;1516277102111;1516277102191;80
152;2;1516277101864;1516277101933;69
153;1;1516277101605;1516277101640;35
154;3;1516277101973;1516277101985;12
155;4;1516277101390;1516277101422;32
156;2;1516277101481;1516277101500;19
157;1;1516277101625;1516277101679;54
158;2;1516277102117;1516277102184;67
159;1;1516277101601;1516277101671;70
160;2;1516277101334;1516277101408;74
161;1;1516277101543;1516277101580;37
162;2;1516277101485;1516277101537;52
163;2;1516277101538;1516277101549;11
164;1;1516277101910;1516277101988;78
165;2;1516277101618;1516277101692;74
166;1;1516277101519;1516277101624;105
167;1;1516277102373;1516277102403;30
168;3;1516277103228;1516277103289;61
169;1;1516277102899;1516277102996;97
170;2;1516277103173;1516277103272;99
171;1;1516277102348;1516277102450;102
172;1;1516277102798;1516277102892;94
173;1;1516277102927;1516277103010;83
174;4;1516277103170;1516277103182;12
175;3;1516277103045;1516277103126;81
176;2;1516277102738;1516277102765;27
177;1;1516277103027;1516277103113;86
178;1;1516277102382;1516277102479;97
179;1;1516277102776;1516277102876;100
180;2;1516277103005;1516277103013;8
181;5;1516277102708;1516277102735;27
182;4;1516277102562;1516277102603;41
183;4;1516277103154;1516277103177;23
184;2;1516277102423;1516277102476;53
185;2;1516277102486;1516277102589;103
186;2;1516277102941;1516277102976;35
187;1;1516277103191;1516277103209;18
188;1;1516277102586;1516277102671;85
189;1;1516277103036;1516277103070;34
190;3;1516277102887;1516277102960;73
191;5;1516277102618;1516277102630;12
192;1;1516277102756;1516277102851;95
193;2;1516277103185;1516277103252;67
194;2;1516277103156;1516277103180;24
195;1;1516277103131;1516277103188;57
196;1;1516277102373;1516277102425;52
197;2;1516277103139;1516277103186;47
198;2;1516277102957;1516277102988;31
199;2;1516277103021;1516277103053;32
200;1;1516277102464;1516277102544;80
201;1;1516277104138;1516277104244;106
202;1;1516277104317;1516277104382;65
203;2;1516277104179;1516277104222;43
204;1;1516277104252;1516277104312;60
205;2;1516277103553;1516277103642;89
206;5;1516277104130;1516277104166;36
207;1;1516277103716;1516277103822;106
208;4;1516277103474;1516277103488;14
209;2;1516277103920;1516277103951;31
210;2;1516277103681;1516277103731;50
211;1;1516277103498;1516277103593;95
212;5;1516277104313;1516277104324;11
213;2;1516277104193;1516277104217;24
214;1;1516277103905;1516277103929;24
215;2;1516277103345;1516277103404;59
216;3;1516277104073;1516277104119;46
217;2;1516277103495;1516277103515;20
218;2;1516277103824;1516277103895;71
219;1;1516277103514;1516277103572;58
220;2;1516277103568;1516277103650;82
221;4;1516277103879;1516277103898;19
222;1;1516277103995;1516277104073;78
223;4;1516277103358;1516277103398;40
224;2;1516277103828;1516277103871;43
225;1;1516277103407;1516277103513;106
226;2;1516277104265;1516277104309;44
227;1;1516277103759;1516277103793;34
228;1;1516277104120;1516277104164;44
229;1;1516277103882;1516277103939;57
230;1;1516277103640;1516277103714;74
231;3;1516277104072;1516277104125;53
232;1;1516277103501;1516277103528;27
233;1;1516277103898;1516277103968;70
234;2;1516277103718;1516277103732;14
235;2;1516277104284;1516277104340;56
236;2;1516277104053;1516277104115;62
237;2;1516277104247;1516277104272;25
238;2;1516277104637;1516277104685;48
239;1;1516277104397;1516277104509;112
240;1;1516277105050;1516277105162;112
241;2;1516277104801;1516277104851;50
242;1;1516277105187;1516277105230;43
243;2;1516277105093;1516277105096;3
244;1;1516277105309;1516277105355;46
245;1;1516277105139;1516277105170;31
246;2;1516277105311;1516277105389;78
247;1;1516277104999;1516277105100;101
248;1;1516277104392;1516277104429;37
249;2;1516277104443;1516277104477;34
250;2;1516277105129;1516277105206;77
