Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;3;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;5;6;5;0;0;0;0;2;0;0;2;false;0.0;0.0;676.6;676.6;3;3
3;4;9;9;0;0;0;0;2;0;0;2;false;0.0;0.0;540.0;615.8889;3;6
6;5;15;14;0;0;0;0;2;0;0;2;false;0.0;0.0;305.6;505.07147;5;11
6;7;21;21;0;0;0;0;2;0;0;2;false;0.0;0.0;434.42856;481.5238;6;17
9;4;30;25;0;0;0;0;2;0;0;2;false;0.0;0.0;309.75;454.04;9;26
9;11;39;36;0;0;0;0;2;0;0;2;false;0.0;0.0;315.63635;411.75;9;35
7;7;46;43;1;0;1;0;2;0;0;2;false;0.0;0.0;305.85715;394.51163;6;41
11;8;57;51;1;1;2;1;2;0;0;2;false;1205.0;1205.0;422.875;398.9608;10;51
12;15;69;66;1;2;3;3;2;0;1;1;false;766.0;912.3333;373.2;393.10605;29;80
11;11;80;77;0;0;3;3;2;0;1;1;false;0.0;912.3333;305.0909;380.53244;30;110
14;9;94;86;1;0;4;3;2;0;1;1;false;0.0;912.3333;412.33334;383.86047;33;143
12;17;106;103;1;1;5;4;2;0;1;1;false;1207.0;986.0;359.0;379.7573;32;175
15;12;121;115;0;1;5;5;2;0;2;0;false;305.0;849.8;308.83334;372.35654;35;210
15;18;136;133;1;1;6;6;2;0;2;0;false;303.0;758.6667;307.72223;363.609;23;233
15;15;151;148;1;0;7;6;2;0;2;0;false;0.0;758.6667;310.6;358.23648;27;260
17;15;168;163;1;1;8;7;2;0;2;0;false;304.0;693.7143;306.46667;353.47238;38;298
19;18;187;181;0;1;8;8;2;0;2;0;false;304.0;645.0;306.8889;348.83972;49;347
18;18;205;199;1;1;9;9;2;0;2;0;false;313.0;608.1111;312.33334;345.5376;58;405
16;18;221;217;0;0;9;9;2;0;2;0;false;0.0;608.1111;310.8889;342.6635;52;457
20;18;241;235;1;0;10;9;2;0;2;0;false;0.0;608.1111;311.66666;340.2893;51;508
18;18;259;253;1;2;11;11;2;0;2;0;false;315.0;554.8182;310.72223;338.1857;55;563
18;18;277;271;0;0;11;11;2;0;2;0;false;0.0;554.8182;312.33334;336.46854;47;610
17;20;294;291;1;1;12;12;2;0;2;0;false;309.0;534.3333;315.45;335.024;43;653
17;15;311;306;3;1;15;13;2;0;2;0;false;304.0;516.61536;304.53333;333.52933;56;709
16;15;327;321;2;3;17;16;2;0;2;0;false;312.33334;478.31247;312.06668;332.52637;87;795
15;18;342;339;1;1;18;17;2;0;2;0;false;307.0;468.23526;306.44446;331.14157;77;872
12;12;354;351;1;2;19;19;2;0;2;0;false;305.0;451.05264;304.58334;330.23364;86;957
15;14;369;365;2;1;21;20;2;0;2;0;false;312.0;444.1;307.5;329.36157;99;1056
14;12;383;377;0;1;21;21;2;0;2;0;false;308.0;437.61905;307.0;328.64987;96;1152
9;12;392;389;0;0;21;21;2;0;2;0;false;0.0;437.61905;308.66666;328.03345;57;1209
12;12;404;401;1;1;22;22;2;0;2;0;false;304.0;431.54544;305.75;327.36658;54;1262
10;10;414;411;0;0;22;22;2;0;2;0;false;0.0;431.54544;304.8;326.8175;46;1307
9;9;423;420;1;1;23;23;2;0;2;0;false;312.0;426.34784;313.44446;326.53094;39;1346
8;9;431;429;0;0;23;23;2;0;2;0;false;0.0;426.34784;304.8889;326.07693;28;1374
10;8;441;437;0;0;23;23;2;0;2;0;false;0.0;426.34784;308.5;325.75516;30;1404
3;7;444;444;0;0;23;23;2;0;2;0;false;0.0;426.34784;308.0;325.47522;19;1423
7;6;451;450;3;3;26;26;2;0;2;0;false;321.0;414.19232;313.33334;325.31332;42;1465
5;6;456;456;0;0;26;26;2;0;2;0;false;0.0;414.19232;305.66666;325.0548;37;1502
3;3;459;459;0;0;26;26;2;0;2;0;false;0.0;414.19232;311.0;324.96295;33;1535
3;3;462;462;0;0;26;26;2;0;2;0;false;0.0;414.19232;316.0;324.90475;33;1568
