Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total
0;0;0;0;0;0;0;0;0;0;0;FALSE;0;0;0;0
0;0;0;0;0;0;0;0;0;0;2;FALSE;0;0;0;0
0;0;0;0;0;0;0;0;0;0;2;FALSE;0;0;0;0
41;0;41;0;9;0;9;0;0;0;2;FALSE;0;0;0;0
81;67;122;67;19;17;28;17;1;0;2;FALSE;1358,8823;1358,8823;1279,2948;1279,2948
81;81;203;148;29;20;57;37;0;2;0;FALSE;1277,45;1314,8647;1277,9408;1278,5564
84;105;287;253;30;33;87;70;0;1;1;FALSE;1174,303;1248,6;1135,9271;1224,5625
82;96;369;349;27;35;114;105;0;2;0;FALSE;854,74286;1117,3141;804,1839;1108,9208
82;80;451;429;35;32;149;137;1;2;0;FALSE;842,46875;1053,1166;854,3546;1061,4197
96;74;547;503;40;31;189;168;0;2;0;FALSE;649,9355;978,72015;575,9866;990,00433
79;110;626;613;18;37;207;205;0;0;2;FALSE;925,7027;969,1511;751,4615;947,1782
82;62;708;675;21;14;228;219;1;2;0;FALSE;1089,7858;976,8629;780,85486;931,9011
85;74;793;749;26;22;254;241;0;2;0;FALSE;565,1611;939,64435;568,5802;896,4576
84;92;877;841;33;28;287;269;0;0;2;FALSE;811,2329;926,03845;778,33093;883,58514
96;88;973;929;32;34;319;303;0;1;1;FALSE;935,49493;927,9191;959,70306;890,784
93;100;1066;1029;27;35;346;338;0;2;0;FALSE;645,5143;898,676;686,9;870,97015
83;88;1149;1117;29;27;375;365;0;1;1;FALSE;816,4593;892,4471;852,8409;869,5419
74;76;1223;1193;20;19;395;384;2;1;1;FALSE;944,5789;895,02655;1060,525;881,7237
94;53;1317;1246;36;18;431;402;2;2;0;FALSE;1054,661;902,6364;951,62146;884,5846
76;90;1393;1336;23;37;454;439;0;2;0;FALSE;1354,792;940,8198;1264,6744;910,1266
73;117;1466;1453;26;32;480;471;0;0;2;FALSE;837,6244;933,8568;857,93274;905,69116
68;56;1534;1509;21;22;501;493;0;2;0;FALSE;617,9545;919,75977;743,4464;899,67017
82;74;1616;1583;32;25;533;518;0;2;0;FALSE;669,2801;907,67096;728,54047;891,6704
75;68;1691;1651;34;31;567;549;0;1;1;FALSE;876;905,88275;849,1197;889,89575
80;78;1771;1729;25;25;592;574;0;1;1;FALSE;889,92;905,18756;870,7308;889,0312
74;82;1845;1811;26;32;618;606;0;1;1;FALSE;762,6875;897,6627;804,1683;885,1768
91;85;1936;1896;28;27;646;633;0;1;1;FALSE;884,19073;896,98193;801,6119;881,43054
78;78;2014;1974;25;24;671;657;0;1;1;FALSE;947,9583;898,84406;854,16223;880,3659
72;75;2086;2049;28;30;699;687;0;1;1;FALSE;793,0728;894,24756;850,5768;879,3024
87;72;2173;2121;31;25;730;712;0;1;1;FALSE;669,00006;886,33856;785,7164;876,26874
90;79;2263;2200;25;23;755;735;0;0;2;FALSE;1296,0009;899,2141;1036,6638;882,02966
80;56;2343;2256;29;19;784;754;3;1;1;TRUE;1082,3303;903,83704;1257,0632;891,3995
115;94;2458;2350;34;22;818;777;1;2;0;FALSE;1427,5808;919,0647;1404,1324;911,7949
86;73;2544;2423;26;20;844;797;0;2;0;FALSE;2151,805;950,3358;1592,5161;932,45886
78;81;2622;2504;20;32;864;829;3;0;2;TRUE;1950,1875;988,9308;1616,6036;954,5966
96;45;2718;2549;33;11;897;840;0;2;0;FALSE;1456,4048;995,69806;1556,3073;964,5752
62;102;2780;2651;20;28;917;868;0;0;2;FALSE;1788,5385;1019,5016;1635,9233;988,20874
96;116;2876;2767;36;43;953;913;0;2;0;FALSE;2925,9514;1117,3344;2218,6824;1043,7393
86;112;2962;2879;26;37;979;950;0;2;0;FALSE;1872,8881;1146,8085;1576,155;1064,4819
84;69;3046;2949;35;31;1014;981;3;0;2;TRUE;2004,0592;1173,8098;1962,018;1085,1812
106;95;3152;3044;35;32;1049;1013;1;2;0;FALSE;1747,8689;1191,8583;2116,7095;1117,3561
72;86;3224;3130;21;22;1070;1035;2;1;1;FALSE;1116,6818;1190,2878;1296,9945;1121,7126
66;79;3290;3209;16;30;1086;1065;0;2;0;FALSE;1767,3729;1206,2654;1471,4974;1132,2997
180;94;3471;3303;54;16;1141;1081;2;0;2;FALSE;1322,1965;1209,196;1306,9983;1137,9655
63;74;3534;3377;19;28;1160;1109;3;0;2;TRUE;1954,8214;1228,0214;1849,9462;1153,567
87;42;3621;3419;29;15;1189;1124;0;2;0;FALSE;2319,1428;1234,8652;2139,054;1164,2476
82;167;3703;3586;29;45;1218;1169;1;0;2;FALSE;2796,4453;1292,0778;2439,9685;1207,6678
147;108;3850;3694;36;46;1254;1215;2;2;0;FALSE;2111,3635;1336,0791;1945,7322;1243,8519
48;64;3898;3758;19;8;1273;1223;1;2;0;FALSE;2205,3564;1340,3728;1831,8082;1251,596
87;115;3985;3873;33;42;1306;1266;0;2;0;FALSE;2606,622;1384,4111;2066,9807;1278,4537
151;66;4136;3939;64;29;1370;1295;0;2;0;FALSE;1383,0741;1384,8262;1086,491;1275,3326
70;9;4206;3948;16;5;1386;1300;2;0;2;FALSE;1314,8;1384,5569;1690,2916;1276,4183
42;73;4248;4021;9;18;1395;1318;3;2;0;TRUE;1670,5555;1386,5231;2536,9133;1289,6792
128;151;4376;4172;44;48;1439;1366;0;2;0;FALSE;2443,8738;1436,2594;2808,0325;1358,5278
151;193;4527;4365;47;50;1486;1416;0;2;0;FALSE;2474,436;1473,2323;1857,3816;1380,438
105;91;4632;4456;38;52;1524;1468;3;2;0;TRUE;5445,423;1611,772;4013,8513;1432,9204
33;103;4665;4559;10;33;1534;1501;3;2;0;TRUE;2913,9395;1639,8788;2426,9036;1455,0476
222;60;4887;4619;72;29;1606;1531;3;2;0;TRUE;2094,2417;1650,3899;2189,1172;1464,5828
137;62;5024;4681;42;36;1648;1567;3;2;0;TRUE;1499,2346;1650,0505;1680,4983;1470,1447
109;56;5133;4737;47;15;1695;1579;3;2;0;TRUE;2164,2185;1655,1163;3694,8572;1496,4443
263;203;5396;4940;82;84;1777;1663;3;2;0;TRUE;4108,79;1777,5591;5045,3677;1642,8896
96;64;5492;5005;38;52;1815;1715;3;2;0;TRUE;6012,4385;1908,5234;5690,028;1695,4036
92;55;5584;5060;33;40;1848;1755;3;2;0;TRUE;3566,7;1946,3167;4102,619;1721,569
171;333;5755;5393;64;67;1912;1822;3;0;2;TRUE;4021,169;2023,2913;10190,302;2247,6643
127;32;5882;5425;42;30;1954;1852;3;0;2;TRUE;2669,1333;2033,753;2844,6875;2251,1855
185;59;6067;5486;66;58;2020;1913;3;2;0;TRUE;3128,1108;2071,01;3113,4067;2261,76
144;55;6211;5541;44;55;2064;1968;1;2;0;FALSE;3288,5361;2104,3088;3265,6235;2271,709
13;170;6224;5711;3;45;2067;2013;2;2;0;FALSE;2627,596;2116,532;13731,302;2633,3792
4;178;6228;5890;2;20;2069;2033;2;0;2;FALSE;2662,25;2121,9006;23241,225;3260,29
53;19;6281;5909;14;1;2083;2034;2;1;1;FALSE;1024;2121,3608;32452,475;3354,1558
66;111;6347;6020;25;5;2108;2039;2;2;0;FALSE;3559,6;2124,8877;29103,766;3828,3787
17;78;6364;6098;6;15;2114;2054;3;0;2;TRUE;3737,7498;2136,5916;13455,276;3941,341
152;175;6516;6273;52;27;2166;2081;3;0;2;TRUE;6253,6655;2190,0103;16284,648;4323,406
12;53;6528;6326;8;43;2174;2124;2;2;0;FALSE;5853,1455;2263,4043;6780,1167;4343,6484
3;105;6531;6433;2;13;2176;2138;1;2;0;FALSE;5045,7085;2277,9705;7096,862;4392,188
126;53;6657;6486;48;46;2224;2184;1;0;2;FALSE;1013,8261;2252,8884;1196,3208;4366,073
146;64;6803;6550;53;12;2277;2196;3;1;1;TRUE;1102,75;2246,6033;2155,999;4344,49
