Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality requests completed in interval;Number of High criticality requests arrived in total;Number of High criticality requests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;
14;0;14;0;0;0;0;0;2;0;0;0;FALSE;0;0;0;0;
26;7;40;7;0;0;0;0;2;0;0;0;FALSE;0;0;1214,8572;1214,8572;
26;21;66;28;0;0;0;0;2;0;0;2;FALSE;0;0;1135,238;1155,143;
26;14;92;42;0;0;0;0;2;0;0;2;FALSE;0;0;1163,5;1157,9287;
25;20;117;62;0;0;0;0;2;0;0;2;FALSE;0;0;936,7902;1086,4569;
28;24;145;86;0;0;0;0;2;0;0;2;FALSE;0;0;948,37506;1047,9222;
29;23;174;109;0;0;0;0;2;0;0;2;FALSE;0;0;940,913;1025,3425;
26;19;200;128;0;0;0;0;2;0;0;2;FALSE;0;0;1023,3157;1025,0415;
27;21;227;149;0;0;0;0;2;0;0;2;FALSE;0;0;779,6667;990,4585;
27;18;254;167;0;0;0;0;2;0;0;2;FALSE;0;0;1059,4445;997,8941;
53;20;307;187;0;0;0;0;2;0;0;2;FALSE;0;0;1035,35;1001,9001;
71;53;378;240;0;0;0;0;2;0;0;2;FALSE;0;0;897,614;978,7889;
76;52;454;292;0;0;0;0;3;1;0;2;FALSE;0;0;946,1731;972,9805;
79;56;533;348;0;0;0;0;3;0;0;2;FALSE;0;0;851,9766;953,7555;
77;58;610;406;0;0;0;0;3;0;0;2;FALSE;0;0;922,34827;949,28125;
79;66;689;472;0;0;0;0;3;0;0;2;FALSE;0;0;917,4441;944,83813;
70;48;759;520;0;0;0;0;3;0;0;2;FALSE;0;0;826,6875;933,9319;
86;55;845;575;0;0;0;0;3;0;0;2;FALSE;0;0;896,1934;930,28394;
84;69;929;644;0;0;0;0;3;0;0;2;FALSE;0;0;967,4203;934,2628;
83;60;1012;704;0;0;0;0;3;0;0;2;FALSE;0;0;908,2833;933,198;
80;60;1092;764;0;0;0;0;3;0;0;2;FALSE;0;0;983,9667;937,18506;
77;58;1169;822;0;0;0;0;3;0;0;2;FALSE;0;0;979,65515;940,1817;
72;49;1241;871;0;0;0;0;3;0;0;2;FALSE;0;0;940,5102;940,2002;
84;62;1325;933;0;0;0;0;3;0;0;2;FALSE;0;0;967,3458;941,9995;
84;60;1409;993;0;0;0;0;3;0;0;2;FALSE;0;0;984,53345;944,5695;
79;58;1488;1051;0;0;0;0;3;0;0;2;FALSE;0;0;912,54877;942,82025;
86;63;1575;1114;0;0;0;0;3;0;0;2;FALSE;0;0;895,26984;940,1311;
78;55;1653;1169;0;0;0;0;3;0;0;2;FALSE;0;0;963,0363;941,21545;
76;63;1729;1232;0;0;0;0;3;0;0;2;FALSE;0;0;947,31744;941,52747;
91;61;1820;1293;0;0;0;0;3;0;0;2;FALSE;0;0;951,3822;942,05334;
76;61;1896;1354;0;0;0;0;3;0;0;2;FALSE;0;0;996,4097;944,5022;
79;60;1975;1414;0;0;0;0;3;0;0;2;FALSE;0;0;855,2682;940,70685;
76;56;2051;1470;0;0;0;0;3;0;0;2;FALSE;0;0;857,549;937,54517;
76;49;2127;1519;0;0;0;0;3;0;0;2;FALSE;0;0;1019,4081;940,1859;
77;56;2204;1575;0;0;0;0;3;0;0;2;FALSE;0;0;890,0147;938,3949;
76;54;2280;1629;0;0;0;0;3;0;0;2;FALSE;0;0;859,5741;935,7821;
74;62;2355;1691;0;0;0;0;3;0;0;2;FALSE;0;0;930,14734;935,58057;
87;55;2442;1746;0;0;0;0;3;0;0;2;FALSE;0;0;989,58185;937,2816;
75;63;2517;1809;0;0;0;0;3;0;0;2;FALSE;0;0;986,6508;939,001;
85;59;2602;1868;0;0;0;0;3;0;0;2;FALSE;0;0;910,1017;938,0882;
73;64;2675;1932;0;0;0;0;3;0;0;2;FALSE;0;0;1004,09375;940,2747;
67;56;2742;1989;0;0;0;0;3;0;0;2;FALSE;0;0;983,6429;941,1864;
67;52;2809;2041;0;0;0;0;3;0;0;2;FALSE;0;0;980,30756;942,1831;
67;51;2876;2092;0;0;0;0;3;0;0;2;FALSE;0;0;903,8823;941,2494;
65;50;2941;2142;0;0;0;0;3;0;0;2;FALSE;0;0;897,56;940,22943;
68;51;3010;2193;0;0;0;0;3;0;0;2;FALSE;0;0;887,3345;939,00397;
64;43;3075;2236;0;0;0;0;3;0;0;2;FALSE;0;0;1038,4711;940,94635;
66;46;3141;2282;0;0;0;0;3;0;0;2;FALSE;0;0;996,63727;941,9043;
67;51;3208;2333;0;0;0;0;3;0;0;2;FALSE;0;0;1026,544;943,4888;
70;55;3278;2388;0;0;0;0;3;0;0;2;FALSE;0;0;940,25397;943,4259;
82;56;3360;2444;0;0;0;0;3;0;0;2;FALSE;0;0;961,89386;943,82336;
72;52;3432;2496;0;0;0;0;3;0;0;2;FALSE;0;0;989,8026;945,1414;
87;67;3519;2563;0;0;0;0;3;0;0;2;FALSE;0;0;989,2985;946,2958;
83;61;3602;2624;0;0;0;0;3;0;0;2;FALSE;0;0;921,8727;945,7278;
85;66;3687;2690;0;0;0;0;3;0;0;2;FALSE;0;0;840,3151;943,14264;
79;56;3766;2746;0;0;0;0;3;0;0;2;FALSE;0;0;918,0714;942,63135;
73;54;3839;2800;0;0;0;0;3;0;0;2;FALSE;0;0;1015,0888;944,0326;
81;63;3920;2863;0;0;0;0;3;0;0;2;FALSE;0;0;832,2489;941,5983;
82;61;4002;2924;0;0;0;0;3;0;0;2;FALSE;0;0;1027,2461;943,3851;
